_type,_id,_revision,_page.next,id,sugauta_kiekis,matavimo_vnt,zuvies_pav,zuvies_komercinis_pav,zuvies_pav_en,zuvies_mokslinis_pav,seima,zvejybos_pastangos_id,zvejybos_pastangos_pradzia,zvejybos_pastangos_pabaiga,pastangos_trukme_val,ekonomines_zonos_kodas,ekonomines_zonos_pav,fao_zonos_kodas,fao_zonos_pav,laivo_registracijos_numeris,kapitono_id,zvejybos_irankio_pav,zvejybos_irankio_ilgis,zvejybos_irankio_tankumas,gylis,laivo_isvykimo_data_laikas,laivo_isvykimo_uosto_pav,laivo_isvykimo_uosto_salis,ar_isvykimo_uostas_eu,laivo_grizimo_data_laikas,laivo_grizimo_uosto_pavadinimas,laivo_grizimo_uosto_salis,ar_grizimo_uostas_eu
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,944cb5e7-36f4-4c7e-8890-00700108068c,1b8b3463-f443-463a-b438-bd320c03b48f,,1,30,Kilogramai,Plekšnė europinė upinė (paprastoji),Europinė upinė plekšnė,European Flounder,Platichthys flesus,Pleuronectidae,64432,2007-09-24T00:00:00,2007-09-24T08:00:00,8,LTU,Lietuva,27.3.d.26,Southern Central Baltic - East (Subdivision 26),625aad83167e008,92cfceb39d57d91,Nežinomi arba išsamiai nenurodyti įrankiai,3000,60,15,2007-09-23T14:00:00,Klaipėda (LTU),Lietuva,TRUE,2007-09-24T15:00:00,Klaipėda (LTU),Lietuva,TRUE
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,df03911e-d368-476e-add0-406e6ea7cab9,59c382c3-7af7-49b7-8e8d-2a80f304929d,,10,65,Kilogramai,Lašiša atlantinė,Atlantinė lašiša,Atlantic Salmon,Salmo salar,Salmonidae,3799,2007-10-16T00:00:00,2007-10-16T09:00:00,9,LTU,Lietuva,27.3.d.26,Southern Central Baltic - East (Subdivision 26),625aad83167e008,92cfceb39d57d91,Nežinomi arba išsamiai nenurodyti įrankiai,3000,55,15,2007-10-15T17:00:00,Klaipėda (LTU),Lietuva,TRUE,2007-10-16T11:00:00,Klaipėda (LTU),Lietuva,TRUE
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,c9c1fa25-4f84-45ba-a840-9b0527d8f7db,22a9449a-5b73-4779-b6c5-6ae37427d99d,,100,100,Kilogramai,Molva melsvoji,Melsvoji molva,Blue Ling,Molva dypterygia,Gadidae,71434,2007-11-06T08:30:00,2007-11-06T16:30:00,8,XIN,Tarptautiniai vandenys,27.6.b.1,Rockall - Part Of Neafc Regulatory Area,3b3ce5f53d596cb,ecb7937db58ec9d,Dugninis tralas su kėtoklėmis,61,110,1050,2007-10-31T09:31:00,Vigo (ESP),Ispanija,TRUE,2008-02-08T09:00:00,Vigo (ESP),Ispanija,TRUE
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,1579c7ad-411b-4a33-bddd-0d0420f83803,3c139073-0c28-4577-96ad-c907034349d7,,1000,1728,Kilogramai,Dančius paprastasis (Didžiadantė),Paprastasis dančius (Didžiadantė),Common Dentex,Dentex dentex,Sparidae,16824,2008-09-16T09:00:00,2008-09-16T18:00:00,9,ESH,Vakarų Sahara,34.1.3.1,Cape Barbas,f2d0728aab1a975,775bc5c30e27f0e,Pelaginis tralas su kėtoklėmis,,40,195,2008-09-14T10:30:00,Dakhla (MAR),Vakarų Sachara,FALSE,2008-09-22T15:00:00,Dakhla (MAR),Vakarų Sachara,FALSE
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,530d05f0-b196-454b-b57e-6db0f821dddf,94cd95dd-b808-4427-b49c-19a2399bfab8,,10000,414,Kilogramai,Grenadierius šiaurinis,Šiaurinis grenadierius,Roughhead Grenadier,Macrourus berglax,Macrouridae,29204,2012-04-03T01:00:00,2012-04-03T11:00:00,10,XIN,Tarptautiniai vandenys,21.3.M,Flemish Cap,3b3ce5f53d596cb,ecb7937db58ec9d,Dugninis tralas su kėtoklėmis,61,130,950,2012-01-01T17:00:00,Vigo (ESP),Ispanija,TRUE,2012-04-27T15:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,7917ff8d-4fb7-4683-83b4-b77884d98909,1e514980-9c95-4d9c-8388-1b603d7fddce,,100000,1025,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76553,2004-12-13T00:00:00,2004-12-14T19:00:00,43,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),dd0bd0f7d7e374d,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,3400621e-87e2-4166-b044-e4aed7f9ee2c,bbedb8ab-165f-45ea-85e3-9c623f33219b,,100001,400,Kilogramai,Plekšnė europinė upinė (paprastoji),Europinė upinė plekšnė,European Flounder,Platichthys flesus,Pleuronectidae,76555,2004-12-20T00:00:00,2004-12-20T07:00:00,7,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),dc7723428bcb11f,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,f502ef98-3de8-4e7c-8866-f77c9b2a9f21,ad2237f3-167d-4e2a-80d2-235b31d3fa03,,100002,225,Kilogramai,Plekšnė europinė upinė (paprastoji),Europinė upinė plekšnė,European Flounder,Platichthys flesus,Pleuronectidae,76559,2004-12-20T00:00:00,2004-12-20T08:00:00,8,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),0c37ddff97eebd2,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,5669ec38-393e-44b5-88fb-d82a2c0d5135,cd8e0d1c-55c5-4f48-948f-5520a659fc08,,100003,2350,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76557,2004-12-21T00:00:00,2004-12-21T07:00:00,7,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),0c37ddff97eebd2,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,f3e98dbf-606a-4395-a65b-843d994e9d6a,6765fa17-ccc3-46f7-8f8e-8ae379807285,,100004,5200,Kilogramai,Atlantinė silkė,Strimelė (Baltijos silkė),Atlantic Herring,Clupea harengus,Clupeidae,76565,2004-12-21T00:00:00,2004-12-21T07:00:00,7,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),ec49dd5420c00d1,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
